region,date,"case fatality rate (cfr) -  
 confirmed & probable cases",case fatality rate (cfr) - confirmed & probable cases,contacts lost to follow-up,contacts seen,"contacts who completed 21 day  
 follow-up",contacts who completed 21 day follow-up,cumulative (confirmed + probable + suspected),cumulative (confirmed + probable + suspects),cumulative cfr,cumulative admission/isolation,cumulative cases among hcw,"cumulative confirmed, probable and suspected cases",cumulative deaths among hcw,currently under follow-up,new case/s (probable),new case/s (suspected),new admissions,new case/s (confirmed),newly reported cases in hcw,newly reported deaths in hcw,newly reported contacts,newly reported deaths,specimens collected,specimens pending for testing,total case/s (probable),total case/s (suspected),"total number of confirmed cases  
 of guinean nationality","total number of confirmed cases  
 of sierra leonean nationality",total number of confirmed cases of guinean nationality,total number of confirmed cases of sierra leonean nationality,total case/s (confirmed),total confirmed cases,total contacts listed,total death/s in confirmed cases,"total death/s in confirmed,  
 probable, suspected cases","total death/s in confirmed,  probable, suspected cases","total death/s in confirmed, probable, suspected cases",total death/s in probable cases,total death/s in suspected cases,total discharges,"total no. currently in treatment  
 units",total no. currently in treatment units,total probable cases,total specimens tested,total suspected cases
grand kru,2014-10-29,,,0.0,0.0,,0.0,,,,,0.0,30.0,0.0,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,,,,,,,,,,2.0,,,,,22.0,,,,,,14.0,,14.0
lofa county,2014-10-29,,,0.0,0.0,,43.0,,,,,22.0,623.0,16.0,169.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,304.0,,,,,345.0,,,,,3.0,151.0,,168.0
margibi county,2014-10-29,,,0.0,1790.0,,0.0,,,,,67.0,1137.0,35.0,1790.0,6.0,1.0,,,0.0,0.0,0.0,1.0,,,,,,,,,,299.0,,,,,504.0,,,,,,478.0,,360.0
maryland county,2014-10-29,,,0.0,0.0,,0.0,,,,,1.0,18.0,0.0,11.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,3.0,,,,,14.0,,,,,,2.0,,13.0
montserrado county,2014-10-29,,,4.0,4150.0,,91.0,,,,,157.0,3636.0,71.0,4180.0,14.0,37.0,,,0.0,0.0,242.0,17.0,,,,,,,,,,1469.0,,,,,1408.0,,,,,166.0,674.0,,1493.0
nimba county,2014-10-29,,,0.0,224.0,,214.0,,,,,11.0,307.0,2.0,224.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,,,101.0,,,,,39.0,,,,,10.0,125.0,,81.0
river gee county,2014-10-29,,,0.0,0.0,,0.0,,,,,2.0,18.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,7.0,,,,,8.0,,,,,,4.0,,7.0
rivercess county,2014-10-29,,,0.0,39.0,,0.0,,,,,0.0,13.0,0.0,39.0,0.0,1.0,,,0.0,0.0,22.0,2.0,,,,,,,,,,4.0,,,,,11.0,,,,,,2.0,,7.0
sinoe county,2014-10-29,,,0.0,83.0,,0.0,,,,,1.0,27.0,0.0,83.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,14.0,,,,,10.0,,,,,,3.0,,10.0
bomi county,2014-10-30,,,0.0,468.0,,0.0,,,,,9.0,177.0,11.0,468.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,,,,,,,,,,73.0,,,,,84.0,,,0.0,,0.0,43.0,,61.0
bong county,2014-10-30,,,0.0,117.0,,0.0,,,,,12.0,261.0,23.0,117.0,2.0,6.0,0.0,,0.0,0.0,48.0,1.0,,,,,,,,,,78.0,,,,,76.0,,,0.0,,25.0,33.0,,150.0
gbarpolu county,2014-10-30,,,,,,,,,,,0.0,12.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,4.0,,,,,3.0,,,,,,2.0,,6.0
grand bassa,2014-10-30,,,0.0,11.0,,1.0,,,,,2.0,125.0,6.0,11.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,16.0,,,,,50.0,,,,,,70.0,,39.0
grand cape mount,2014-10-30,,,0.0,188.0,,0.0,,,,,2.0,74.0,5.0,188.0,3.0,0.0,,,0.0,0.0,1.0,1.0,,,,,,,,,,27.0,,,,,43.0,,,,,,19.0,,28.0
grand gedeh,2014-10-30,,,,,,,,,,,0.0,4.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,2.0,,,,,3.0,,,,,,0.0,,2.0
grand kru,2014-10-30,,,0.0,0.0,,0.0,,,,,0.0,30.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,3.0,,,,,22.0,,,,,,13.0,,14.0
lofa county,2014-10-30,,,0.0,114.0,,0.0,,,,,16.0,623.0,22.0,114.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,304.0,,,,,345.0,,,0.0,,0.0,151.0,,168.0
margibi county,2014-10-30,,,0.0,1783.0,,0.0,,,,,36.0,1148.0,68.0,1783.0,4.0,4.0,,,0.0,0.0,0.0,3.0,,,,,,,,,,310.0,,,,,508.0,,,,,,474.0,,364.0
maryland county,2014-10-30,,,0.0,0.0,,0.0,,,,,0.0,18.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,3.0,,,,,14.0,,,,,,2.0,,13.0
montserrado county,2014-10-30,,,0.0,4252.0,,93.0,,,,,77.0,3646.0,165.0,4273.0,6.0,17.0,34.0,,1.0,1.0,224.0,24.0,,,,,,,,,,1486.0,,,,,1419.0,,,47.0,,244.0,671.0,,1489.0
nimba county,2014-10-30,,,0.0,0.0,,0.0,,,,,2.0,308.0,11.0,224.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,106.0,,,,,39.0,,,6.0,,10.0,123.0,,79.0
river gee county,2014-10-30,,,0.0,0.0,,0.0,,,,,0.0,18.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,7.0,,,,,8.0,,,,,,4.0,,7.0
rivercess county,2014-10-30,,,0.0,0.0,,0.0,,,,,0.0,14.0,0.0,39.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,4.0,,,,,12.0,,,,,,2.0,,8.0
sinoe county,2014-10-30,,,0.0,80.0,,0.0,,,,,0.0,27.0,1.0,80.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,14.0,,,,,10.0,,,,,,3.0,,10.0
bomi county,2014-10-31,,,,,,,,,,,11.0,177.0,9.0,,,,,,,,,,,,,,,,,,,78.0,,,85.0,,,,,,,,43.0,,61.0
bong county,2014-10-31,,,0.0,0.0,0.0,,,,,,23.0,261.0,12.0,117.0,0.0,0.0,0.0,,0.0,0.0,0.0,8.0,,,,,,,,,,4.0,,,77.0,,,,,0.0,25.0,,33.0,,150.0
gbarpolu county,2014-10-31,,,0.0,0.0,0.0,,,,,,0.0,12.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,,,18.0,,,3.0,,,,,,,,2.0,,6.0
grand bassa,2014-10-31,,,0.0,11.0,1.0,,,,,,6.0,125.0,2.0,11.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,27.0,,,50.0,,,,,,,,68.0,,39.0
grand cape mount,2014-10-31,,,0.0,0.0,0.0,,,,,,5.0,74.0,2.0,188.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,,,2.0,,,43.0,,,,,,,,19.0,,28.0
grand gedeh,2014-10-31,,,,,,,,,,,0.0,4.0,0.0,,,,,,,,,0.0,,,,,,,,,,3.0,,,3.0,,,,,,,,0.0,,2.0
grand kru,2014-10-31,,,0.0,0.0,0.0,,,,,,0.0,30.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,304.0,,,22.0,,,,,,,,13.0,,14.0
lofa county,2014-10-31,,,0.0,0.0,0.0,,,,,,22.0,623.0,16.0,114.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,312.0,,,346.0,,,,,0.0,0.0,,151.0,,168.0
margibi county,2014-10-31,,,0.0,1786.0,7.0,,,,,,68.0,1158.0,37.0,1786.0,4.0,1.0,,,0.0,0.0,6.0,2.0,,,,,,,,,,3.0,,,516.0,,,,,,,,478.0,,368.0
maryland county,2014-10-31,,,0.0,0.0,0.0,,,,,,1.0,18.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,1496.0,,,14.0,,,,,,,,2.0,,13.0
montserrado county,2014-10-31,,,0.0,4503.0,127.0,,,,,,164.0,3666.0,77.0,4520.0,9.0,17.0,37.0,,0.0,0.0,192.0,29.0,,,,,,,,,,106.0,,,1464.0,,,,,11.0,264.0,,676.0,,1494.0
nimba county,2014-10-31,,,0.0,0.0,0.0,,,,,,12.0,318.0,2.0,224.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,7.0,,,44.0,,,,,6.0,10.0,,133.0,,79.0
river gee county,2014-10-31,,,,,,,,,,,2.0,18.0,0.0,,,,,,,,,,,,,,,,,,,4.0,,,8.0,,,,,,,,4.0,,7.0
rivercess county,2014-10-31,,,0.0,1.0,1.0,,,,,,0.0,14.0,0.0,40.0,0.0,0.0,,,0.0,0.0,1.0,0.0,,,,,,,,,,14.0,,,12.0,,,,,,,,2.0,,8.0
sinoe county,2014-10-31,,,0.0,0.0,0.0,,,,,,1.0,27.0,0.0,80.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,10.0,,,,,,,,3.0,,10.0
bomi county,2014-11-02,,,0.0,0.0,,0.0,,,,,11.0,177.0,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,,,74.0,,,,,85.0,,,,,,42.0,,61.0
bong county,2014-11-02,,,0.0,102.0,,15.0,,,,,23.0,261.0,12.0,102.0,5.0,13.0,2.0,,0.0,0.0,0.0,3.0,,,,,,,,,,78.0,,,,,77.0,,,9.0,,18.0,33.0,,150.0
gbarpolu county,2014-11-02,,,0.0,0.0,,0.0,,,,,0.0,12.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,4.0,,,,,3.0,,,,,,2.0,,6.0
grand bassa,2014-11-02,,,0.0,0.0,,0.0,,,,,6.0,125.0,2.0,11.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,18.0,,,,,50.0,,,,,,68.0,,39.0
grand cape mount,2014-11-02,,,0.0,0.0,,0.0,,,,,5.0,74.0,2.0,188.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,27.0,,,,,43.0,,,,,,19.0,,28.0
grand gedeh,2014-11-02,,,0.0,0.0,,0.0,,,,,0.0,4.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,2.0,,,,,3.0,,,,,,0.0,,2.0
grand kru,2014-11-02,,,0.0,0.0,,0.0,,,,,0.0,30.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,3.0,,,,,22.0,,,,,,13.0,,14.0
lofa county,2014-11-02,,,0.0,0.0,,0.0,,,,,22.0,623.0,16.0,114.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,304.0,,,,,346.0,,,0.0,,0.0,151.0,,168.0
margibi county,2014-11-02,,,0.0,1791.0,,0.0,,,,,68.0,1155.0,37.0,1791.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,312.0,,,,,516.0,,,,,,476.0,,367.0
maryland county,2014-11-02,,,0.0,0.0,,0.0,,,,,1.0,18.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,3.0,,,,,14.0,,,,,,2.0,,13.0
montserrado county,2014-11-02,,,0.0,4398.0,,154.0,,,,,165.0,3666.0,77.0,4419.0,2.0,5.0,13.0,,0.0,0.0,12.0,4.0,,,,,,,,,,1499.0,,,,,1465.0,,,3.0,,211.0,675.0,,1492.0
nimba county,2014-11-02,,,0.0,173.0,,0.0,,,,,12.0,318.0,2.0,173.0,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,,,,,,,,,,106.0,,,,,44.0,,,0.0,,6.0,133.0,,79.0
river gee county,2014-11-02,,,0.0,0.0,,0.0,,,,,2.0,18.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,7.0,,,,,8.0,,,,,,4.0,,7.0
rivercess county,2014-11-02,,,0.0,0.0,,0.0,,,,,0.0,16.0,0.0,41.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,5.0,,,,,14.0,,,,,,2.0,,9.0
sinoe county,2014-11-02,,,0.0,0.0,,0.0,,,,,1.0,27.0,0.0,80.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,14.0,,,,,10.0,,,,,,3.0,,10.0
bomi county,2014-11-04,,,2.0,0.0,0.0,,,,,,11.0,188.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,92.0,39.0,,50.0,,,,,,,,82.0,,42.0
bong county,2014-11-04,,,0.0,102.0,0.0,,,,,,23.0,267.0,,,0.0,2.0,1.0,,0.0,0.0,0.0,0.0,,,,,,,,,,79.0,102.0,,38.0,,,,,3.0,15.0,,88.0,,32.0
gbarpolu county,2014-11-04,,,0.0,48.0,12.0,,,,,,0.0,15.0,,,0.0,6.0,,,0.0,0.0,0.0,1.0,,,,,,,,,,5.0,48.0,,2.0,,,,,,,,6.0,,2.0
grand bassa,2014-11-04,,,0.0,40.0,0.0,,,,,,6.0,127.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,,,,,,,,,,50.0,40.0,,6.0,,,,,,,,20.0,,67.0
grand cape mount,2014-11-04,,,0.0,211.0,0.0,,,,,,5.0,76.0,,,0.0,1.0,,,0.0,0.0,1.0,3.0,,,,,,,,,,43.0,211.0,,14.0,,,,,,,,27.0,,21.0
grand gedeh,2014-11-04,,,0.0,0.0,0.0,,,,,,0.0,4.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,3.0,0.0,,1.0,,,,,,,,2.0,,0.0
grand kru,2014-11-04,,,0.0,5.0,0.0,,,,,,0.0,30.0,,,0.0,0.0,,,0.0,0.0,5.0,1.0,,,,,,,,,,22.0,5.0,,3.0,,,,,,,,3.0,,13.0
lofa county,2014-11-04,,,0.0,89.0,0.0,,,,,,22.0,642.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,365.0,89.0,,214.0,,,,,0.0,1.0,,322.0,,151.0
margibi county,2014-11-04,,,0.0,1730.0,92.0,,,,,,68.0,1159.0,,,2.0,2.0,,,0.0,0.0,6.0,1.0,,,,,,,,,,520.0,1730.0,,145.0,,,,,,,,317.0,,475.0
maryland county,2014-11-04,,,0.0,0.0,35.0,,,,,,1.0,18.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,14.0,11.0,,3.0,,,,,,,,4.0,,2.0
montserrado county,2014-11-04,,,2.0,3196.0,150.0,,,,,,167.0,3711.0,,,18.0,12.0,25.0,,0.0,0.0,173.0,18.0,,,,,,,,,,1493.0,3199.0,,663.0,,,,,8.0,205.0,,1508.0,,683.0
nimba county,2014-11-04,,,0.0,101.0,52.0,,,,,,12.0,320.0,,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,,,,,,,,,48.0,173.0,,26.0,,,,,0.0,6.0,,109.0,,132.0
river gee county,2014-11-04,,,0.0,0.0,0.0,,,,,,,18.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,8.0,0.0,,5.0,,,,,,,,7.0,,4.0
rivercess county,2014-11-04,,,0.0,0.0,0.0,,,,,,,17.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,14.0,0.0,,4.0,,,,,,,,5.0,,2.0
sinoe county,2014-11-04,,,0.0,48.0,32.0,,,,,,,27.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,10.0,48.0,,5.0,,,,,,,,14.0,,3.0
bomi county,2014-11-08,,,0.0,0.0,0.0,,,,,,11.0,199.0,9.0,212.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,,,91.0,,,,,,,,,,,42.0,,66.0
bong county,2014-11-08,,,0.0,100.0,0.0,,,,,,28.0,302.0,15.0,100.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,97.0,,,,,,,,0.0,28.0,,32.0,,173.0
gbarpolu county,2014-11-08,,,0.0,45.0,0.0,,,,,,0.0,15.0,0.0,58.0,0.0,7.0,,,0.0,0.0,0.0,1.0,,,,,,,,,,6.0,,,,,,,,,,,2.0,,7.0
grand bassa,2014-11-08,,,0.0,50.0,0.0,,,,,,6.0,136.0,2.0,50.0,0.0,0.0,,,0.0,0.0,5.0,0.0,,,,,,,,,,20.0,,,,,,,,,,,72.0,,44.0
grand cape mount,2014-11-08,,,0.0,250.0,2.0,,,,,,7.0,92.0,3.0,250.0,2.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,28.0,,,,,,,,,,,23.0,,41.0
grand gedeh,2014-11-08,,,0.0,0.0,0.0,,,,,,1.0,11.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,2.0,,7.0
grand kru,2014-11-08,,,0.0,0.0,0.0,,,,,,0.0,33.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,4.0,,,,,,,,,,,14.0,,15.0
lofa county,2014-11-08,,,0.0,128.0,0.0,,,,,,22.0,642.0,16.0,128.0,0.0,1.0,0.0,,0.0,0.0,32.0,1.0,,,,,,,,,,322.0,,,,,,,,1.0,0.0,,151.0,,169.0
margibi county,2014-11-08,,,0.0,1881.0,0.0,,,,,,69.0,1192.0,37.0,1881.0,3.0,2.0,,,0.0,0.0,55.0,1.0,,,,,,,,,,321.0,,,,,,,,,,,485.0,,386.0
maryland county,2014-11-08,,,0.0,0.0,0.0,,,,,,1.0,18.0,0.0,11.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,4.0,,,,,,,,,,,2.0,,12.0
montserrado county,2014-11-08,,,1.0,3251.0,181.0,,,,,,169.0,3779.0,78.0,3280.0,8.0,3.0,28.0,,0.0,0.0,97.0,7.0,,,,,,,,,,1515.0,,,,,,,,13.0,167.0,,710.0,,1554.0
nimba county,2014-11-08,,,0.0,123.0,58.0,,,,,,12.0,324.0,2.0,123.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,109.0,,,,,,,,0.0,9.0,,135.0,,80.0
river gee county,2014-11-08,,,0.0,0.0,0.0,,,,,,2.0,18.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,7.0,,,,,,,,,,,4.0,,7.0
rivercess county,2014-11-08,,,0.0,81.0,5.0,,,,,,0.0,29.0,0.0,81.0,0.0,1.0,,,0.0,0.0,0.0,2.0,,,,,,,,,,10.0,,,,,,,,,,,8.0,,11.0
sinoe county,2014-11-08,,,0.0,48.0,0.0,,,,,,1.0,32.0,0.0,48.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,17.0,,,,,,,,,,,5.0,,10.0
bomi county,2014-11-14,,,0.0,0.0,0.0,,,,,,18.0,283.0,14.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,131.0,,,153.0,,,,,0.0,6.0,,68.0,,84.0
bong county,2014-11-14,,,0.0,169.0,6.0,,,,,,28.0,302.0,16.0,169.0,0.0,4.0,4.0,,0.0,0.0,0.0,2.0,,,,,,,,,,97.0,,,88.0,,,,,6.0,24.0,,32.0,,173.0
gbarpolu county,2014-11-14,,,0.0,46.0,0.0,,,,,,0.0,17.0,0.0,54.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,6.0,,,5.0,,,,,,,,2.0,,9.0
grand bassa,2014-11-14,,,0.0,0.0,0.0,,,,,,7.0,140.0,2.0,43.0,0.0,1.0,,,1.0,0.0,0.0,0.0,,,,,,,,,,22.0,,,54.0,,,,,,,,75.0,,43.0
grand cape mount,2014-11-14,,,0.0,184.0,0.0,,,,,,7.0,97.0,3.0,184.0,1.0,3.0,,,0.0,0.0,0.0,5.0,,,,,,,,,,29.0,,,54.0,,,,,,,,26.0,,42.0
grand gedeh,2014-11-14,,,0.0,0.0,0.0,,,,,,1.0,11.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,2.0,,,4.0,,,,,,,,2.0,,7.0
grand kru,2014-11-14,,,0.0,0.0,1.0,,,,,,0.0,34.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,4.0,,,25.0,,,,,,,,16.0,,14.0
lofa county,2014-11-14,,,0.0,139.0,0.0,,,,,,22.0,641.0,16.0,139.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,,325.0,,,375.0,,,,,0.0,0.0,,149.0,,167.0
margibi county,2014-11-14,,,0.0,1929.0,0.0,,,,,,69.0,1219.0,37.0,1929.0,0.0,3.0,,,0.0,0.0,4.0,0.0,,,,,,,,,,330.0,,,535.0,,,,,,,,487.0,,402.0
maryland county,2014-11-14,,,0.0,1.0,0.0,,,,,,1.0,19.0,0.0,1.0,0.0,1.0,,,0.0,0.0,1.0,1.0,,,,,,,,,,4.0,,,15.0,,,,,,,,2.0,,13.0
montserrado county,2014-11-14,,,3.0,2873.0,149.0,,,,,,172.0,3874.0,80.0,2882.0,4.0,2.0,27.0,,0.0,0.0,86.0,11.0,,,,,,,,,,1540.0,,,1559.0,,,,,13.0,172.0,,735.0,,1599.0
nimba county,2014-11-14,,,0.0,51.0,0.0,,,,,,12.0,328.0,2.0,51.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,111.0,,,50.0,,,,,0.0,9.0,,137.0,,80.0
river gee county,2014-11-14,,,0.0,0.0,0.0,,,,,,2.0,19.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,7.0,,,8.0,,,,,,,,5.0,,7.0
rivercess county,2014-11-14,,,0.0,91.0,0.0,,,,,,0.0,44.0,0.0,91.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,17.0,,,24.0,,,,,,,,16.0,,11.0
sinoe county,2014-11-14,,,0.0,23.0,0.0,,,,,,1.0,32.0,0.0,23.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,17.0,,,11.0,,,,,,,,5.0,,10.0
bomi county,2014-11-15,,,0.0,0.0,0.0,,,,,,18.0,283.0,14.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,,131.0,,,153.0,,,,,,4.0,,68.0,,84.0
bong county,2014-11-15,,,0.0,169.0,6.0,,,,,,28.0,302.0,16.0,169.0,0.0,7.0,4.0,,0.0,0.0,0.0,3.0,,,,,,,,,,97.0,,,88.0,,,,,,25.0,,32.0,,173.0
gbarpolu county,2014-11-15,,,0.0,46.0,0.0,,,,,,0.0,17.0,0.0,54.0,0.0,1.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,6.0,,,5.0,,,,,,,,2.0,,9.0
grand bassa,2014-11-15,,,0.0,0.0,0.0,,,,,,8.0,142.0,2.0,43.0,1.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,23.0,,,55.0,,,,,,,,76.0,,43.0
grand cape mount,2014-11-15,,,0.0,184.0,0.0,,,,,,7.0,97.0,3.0,184.0,0.0,1.0,,,0.0,0.0,0.0,3.0,,,,,,,,,,29.0,,,54.0,,,,,,,,26.0,,42.0
grand gedeh,2014-11-15,,,0.0,0.0,0.0,,,,,,1.0,11.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,2.0,,,4.0,,,,,,,,2.0,,7.0
grand kru,2014-11-15,,,0.0,0.0,1.0,,,,,,0.0,34.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,4.0,,,25.0,,,,,,,,16.0,,14.0
lofa county,2014-11-15,,,0.0,139.0,0.0,,,,,,22.0,641.0,16.0,139.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,325.0,,,375.0,,,,,,0.0,,149.0,,167.0
margibi county,2014-11-15,,,0.0,1929.0,0.0,,,,,,69.0,1219.0,37.0,1929.0,0.0,1.0,,,0.0,0.0,4.0,0.0,,,,,,,,,,330.0,,,535.0,,,,,,,,487.0,,402.0
maryland county,2014-11-15,,,0.0,1.0,0.0,,,,,,1.0,19.0,0.0,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,,,,,,,,,,4.0,,,15.0,,,,,,,,2.0,,13.0
montserrado county,2014-11-15,,,3.0,2873.0,149.0,,,,,,172.0,3881.0,80.0,2882.0,10.0,13.0,10.0,,0.0,0.0,86.0,5.0,,,,,,,,,,1540.0,,,1562.0,,,,,,85.0,,739.0,,1602.0
nimba county,2014-11-15,,,0.0,51.0,0.0,,,,,,12.0,328.0,2.0,51.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,111.0,,,50.0,,,,,,9.0,,137.0,,80.0
river gee county,2014-11-15,,,0.0,0.0,0.0,,,,,,2.0,19.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,7.0,,,8.0,,,,,,,,5.0,,7.0
rivercess county,2014-11-15,,,0.0,91.0,0.0,,,,,,0.0,44.0,0.0,91.0,0.0,4.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,17.0,,,24.0,,,,,,,,16.0,,11.0
sinoe county,2014-11-15,,,0.0,23.0,0.0,,,,,,1.0,32.0,0.0,23.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,17.0,,,11.0,,,,,,,,5.0,,10.0
bomi county,2014-11-19,,,0.0,226.0,0.0,,,,,,18.0,285.0,14.0,318.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,135.0,,,158.0,,,,,,3.0,,66.0,,84.0
bong county,2014-11-19,,,0.0,198.0,0.0,,,,,,29.0,308.0,16.0,198.0,0.0,8.0,6.0,,0.0,0.0,14.0,8.0,,,,,,,,,,103.0,,,88.0,,,,,,35.0,,32.0,,173.0
gbarpolu county,2014-11-19,,,0.0,31.0,15.0,,,,,,0.0,20.0,0.0,57.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,7.0,,,5.0,,,,,,,,3.0,,10.0
grand bassa,2014-11-19,,,29.0,30.0,1.0,,,,,,8.0,139.0,4.0,59.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,33.0,,,60.0,,,,,,,,67.0,,39.0
grand cape mount,2014-11-19,,,0.0,286.0,2.0,,,,,,7.0,96.0,3.0,286.0,2.0,0.0,,,0.0,0.0,18.0,0.0,,,,,,,,,,32.0,,,54.0,,,,,,,,26.0,,38.0
grand gedeh,2014-11-19,,,0.0,1.0,0.0,,,,,,1.0,10.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,2.0,,,5.0,,,,,,,,0.0,,8.0
grand kru,2014-11-19,,,0.0,0.0,0.0,,,,,,0.0,34.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,4.0,,,25.0,,,,,,,,16.0,,14.0
lofa county,2014-11-19,,,0.0,100.0,0.0,,,,,,22.0,641.0,16.0,102.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,325.0,,,376.0,,,,,,0.0,,149.0,,167.0
