region,date,cfr,contacts_followed,contacts_healthy,contacts_ill,contacts_not_seen,cum_completed_contacts,cum_confirmed,cum_contacts,cum_noncase,cum_probable,cum_suspected,death_confirmed,death_probable,death_suspected,etc_cum_admission,etc_cum_deaths,etc_cum_discharges,etc_currently_admitted,etc_new_admission,etc_new_deaths,etc_new_discharges,negative_corpse,new_completed_contacts,new_confirmed,new_contacts,new_negative,new_noncase,new_positive,new_probable,new_samples,new_suspected,pending,percent_seen,population,positive_corpse,repeat_samples,total_lab_samples
bonthe,2014-10-27,50,20,20,0,0,105,2,125,2,0,3,1,1,1,,,,,,,,0,0,0,0,,0,,0,,0,,100%,168729,0,,
kailahun,2014-10-27,41,503,503,0,0,1835,551,2338,304,32,18,224,35,4,,,,,,,,0,0,0,28,,0,,0,,0,,100%,465048,0,,
kambia,2014-10-27,29,134,132,2,0,389,31,525,19,0,4,9,9,6,,,,,,,,1,0,1,0,,2,,0,,0,,100%,341690,0,,
kenema,2014-10-27,52,336,297,7,2,2670,484,3122,779,0,82,251,0,4,,,,,,,,12,0,1,0,,12,,0,,5,,99%,653013,0,,
koinadugu,2014-10-27,54,55,55,0,2,0,13,58,39,32,5,7,32,0,,,,,,,,0,0,0,0,,0,,0,,0,,99%,335471,0,,
kono,2014-10-27,46,267,260,6,0,293,39,560,85,1,58,18,19,2,,,,,,,,0,0,1,0,,1,,0,,2,,98%,325003,0,,
moyamba,2014-10-27,36,234,221,0,1,679,93,913,79,1,28,33,20,9,,,,,,,,0,0,0,12,,0,,0,,0,,100%,278119,0,,
port loko,2014-10-27,15,4700,4667,11,22,772,514,5472,241,6,47,76,6,74,,,,,,,,5,14,17,181,,7,,5,,0,,98%,557978,7,,
pujehun,2014-10-27,62,31,31,0,0,939,26,977,11,0,9,16,2,3,,,,,,,,0,276,0,0,,0,,0,,0,,100%,335574,0,,
tonkolili,2014-10-27,24,1740,1740,0,0,885,193,2625,82,4,38,46,21,4,,,,,,,,0,42,6,56,,0,,0,,0,,100%,434937,0,,
western area rural,2014-10-27,17,1411,1377,1,34,1311,474,2722,403,0,38,81,2,12,,,,,,,,7,0,13,0,,10,,0,,0,,98%,,5,,
western area urban,2014-10-27,15,1452,1414,2,38,1673,595,3125,818,1,66,89,4,8,,,,,,,,15,0,13,94,,21,,0,,2,,98%,,3,,
bo,2014-09-06,25,150,146,0,4,442,64,592,80,1,5,16,0,0,,,,,,,,,0,2,0,,0,,0,,1,,97%,"654,142",,,
bombali,2014-09-06,9,409,399,7,3,124,67,533,24,1,1,6,0,0,,,,,,,,,8,15,11,,4,,0,,1,,99%,"494,139",,,
bonthe,2014-09-06,100,6,6,0,0,26,1,32,0,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,"168,729",,,
kailahun,2014-09-06,35.9,153,153,0,0,1093,504,1381,255,32,16,181,35,4,426,201,199,67,2,0,8,,0,0,0,,0,,0,,0,,100%,"465,048",,,
kambia,2014-09-06,0,18,18,0,0,12,1,30,3,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,"341,690",,,
kenema,2014-09-06,50.3,538,538,0,0,1696,378,2227,426,0,23,190,0,4,418,181,70,53,0,1,1,,0,6,0,,4,,0,,1,,100%,"653,013",,,
koinadugu,2014-09-06,0,,,,,,0,,24,0,0,0,0,0,,,,,,,,,,0,,,2,,0,,0,,,"335,471",,,
kono,2014-09-06,0,95,95,0,0,38,12,133,22,1,34,2,0,1,,,,,,,,,0,3,0,,1,,0,,0,,100%,"325,003",,,
moyamba,2014-09-06,46.2,75,75,0,0,121,13,196,22,0,2,6,0,0,,,,,,,,,0,1,0,,5,,0,,1,,100%,"278,119",,,
port loko,2014-09-06,16.3,1069,1069,0,0,88,98,1157,27,1,5,16,1,1,,,,,,,,,0,9,0,,5,,0,,2,,100%,"557,978",,,
pujehun,2014-09-06,12.5,54,54,0,0,154,8,208,3,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,"335,574",,,
tonkolili,2014-09-06,9.5,310,310,0,0,153,21,463,20,0,1,2,0,0,,,,,,,,,15,2,14,,1,,0,,0,,100%,"434,937",,,
western area rural,2014-09-06,5,156,156,0,0,0,40,156,29,0,2,2,0,0,,,,,,,,,0,1,0,,2,,0,,0,,100%,"263,619",,,
western area urban,2014-09-06,4.3,339,339,0,0,385,69,724,132,1,6,3,1,1,,,,,,,,,0,3,0,,11,,0,,1,,100%,"1,040,888",,,
bo,2014-08-25,28.6,136,130,0,6,245,35,381,74,1,0,10,0,0,,,,,,,,,64,0,31,,0,,0,,0,,95%,654142,,,
bombali,2014-08-25,10,318,312,1,5,67,20,385,17,1,1,2,0,0,,,,,,,,,3,3,27,,1,,0,,0,,98%,494139,,,
bonthe,2014-08-25,0.0,0.0,0.0,0.0,0.0,26.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,168729.0,,,
kailahun,2014-08-25,40.9,271,271,0,0,987,440,1205,224,32,14,180,35,4,381,155,175,58,13,5,0,,22,0,18,,0,,0,,0,,100%,465048,,,
kambia,2014-08-25,0,12,0,0,0,0,1,12,2,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,NR,341690,,,
kenema,2014-08-25,47.2,413,NR,NR,NR,1180,326,1602,388,0,5,154,0,1,294,180,69,-,-,-,-,,NR,6,0,,2,,0,,1,,NR,653013,,,
koinadugu,2014-08-25,0,0,0,0,0,0,0,0,17,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,NR,335471,,,
kono,2014-08-25,0,0,0,0,0,38,1,53,18,1,33,0,0,1,,,,,,,,,0,0,0,,0,,0,,0,,NR,325003,,,
moyamba,2014-08-25,44.4,15.0,0.0,0.0,0.0,17.0,9.0,132.0,16.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,278119.0,,,
port loko,2014-08-25,3.5,589,570,0,19,59,57,648,17,1,2,2,1,1,,,,,,,,,0,3,0,,1,,0,,1,,100%,557978,,,
pujehun,2014-08-25,0,17,17,0,0,66,7,84,2,0,0,0,0,0,,,,,,,,,4,2,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-08-25,0,202,194,0,0,11,13,213,13,0,1,1,0,0,,,,,,,,,0,2,0,,1,,0,,1,,96%,434937,,,
western area rural,2014-08-25,0,74,74,0,0,0,15,74,13,0,0,0,0,0,,,,,,,,,0,3,0,,0,,0,,0,,100%,263619,,,
western area urban,2014-08-25,6.7,403,403,0,0,140,30,543,81,1,2,2,1,1,,,,,,,,,0,1,0,,2,,0,,2,,100%,1040888,,,
bo,2014-11-02,33.0,339.0,338.0,1.0,0.0,710.0,177.0,1079.0,218.0,1.0,71.0,59.0,43.0,8.0,164.0,35.0,61.0,38.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,100.0,654142.0,0.0,,
bombali,2014-11-02,25.0,944.0,929.0,11.0,4.0,1681.0,588.0,2625.0,363.0,6.0,82.0,144.0,19.0,22.0,,,,,,,,1.0,0.0,7.0,0.0,,1.0,,0.0,,0.0,,98.0,494139.0,2.0,,
bonthe,2014-11-02,50.0,20.0,20.0,0.0,0.0,105.0,2.0,125.0,2.0,0.0,3.0,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,100.0,168729.0,0.0,,
kailahun,2014-11-02,41.0,308.0,308.0,0.0,0.0,2166.0,555.0,2474.0,311.0,32.0,18.0,226.0,35.0,4.0,950.0,248.0,233.0,50.0,0.0,1.0,2.0,0.0,14.0,1.0,0.0,,3.0,,0.0,,0.0,,100.0,465048.0,0.0,,
kambia,2014-11-02,24.0,375.0,369.0,0.0,0.0,189.0,46.0,565.0,26.0,0.0,4.0,11.0,9.0,6.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,100.0,341690.0,0.0,,
kenema,2014-11-02,52.0,348.0,348.0,0.0,0.0,2702.0,493.0,3164.0,840.0,0.0,94.0,255.0,0.0,4.0,,,,,,,,7.0,15.0,0.0,0.0,,7.0,,0.0,,1.0,,99.0,653013.0,0.0,,
koinadugu,2014-11-02,30.0,100.0,100.0,0.0,0.0,8.0,23.0,108.0,48.0,32.0,9.0,7.0,32.0,0.0,,,,,,,,0.0,8.0,0.0,2.0,,0.0,,0.0,,0.0,,99.0,335471.0,0.0,,
kono,2014-11-02,47.0,306.0,288.0,6.0,0.0,321.0,38.0,614.0,87.0,1.0,61.0,18.0,19.0,2.0,,,,,,,,1.0,13.0,0.0,0.0,,2.0,,0.0,,3.0,,98.0,325003.0,0.0,,
moyamba,2014-11-02,34.0,281.0,281.0,0.0,0.0,845.0,96.0,1126.0,87.0,1.0,31.0,33.0,20.0,9.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,100.0,278119.0,0.0,,
port loko,2014-11-02,14.0,5595.0,5555.0,8.0,32.0,860.0,561.0,6455.0,273.0,1.0,58.0,80.0,1.0,74.0,,,,,,,,0.0,0.0,2.0,171.0,,5.0,,0.0,,0.0,,98.0,557978.0,0.0,,
pujehun,2014-11-02,57.0,157.0,157.0,0.0,0.0,939.0,28.0,1103.0,12.0,0.0,10.0,16.0,2.0,3.0,,,,,,,,0.0,0.0,0.0,126.0,,0.0,,0.0,,0.0,,100.0,335574.0,0.0,,
tonkolili,2014-11-02,24.0,1704.0,1704.0,0.0,0.0,1007.0,217.0,2711.0,100.0,4.0,41.0,52.0,21.0,4.0,,,,,,,,0.0,0.0,0.0,22.0,,0.0,,0.0,,0.0,,100.0,434937.0,0.0,,
western area rural,2014-11-02,16.0,1424.0,594.0,11.0,830.0,1741.0,536.0,3165.0,457.0,0.0,51.0,86.0,2.0,12.0,,,,,,,,3.0,1.0,16.0,29.0,,16.0,,0.0,,2.0,,98.0,263619.0,1.0,,
western area urban,2014-11-02,13.9,2236.0,1463.0,3.0,773.0,2181.0,697.0,4417.0,896.0,1.0,90.0,97.0,4.0,8.0,,,,,,,,9.0,42.0,35.0,17.0,,19.0,,0.0,,6.0,,98.0,1040888.0,13.0,,
bo,2014-10-08,43,226,225,1,0,661,114,887,116,1,27,49,43,2,,,,,,,,,0,1,0,,6,,0,,2,,100%,654142,,,
bombali,2014-10-08,28,1524,1513,10,1,412,333,1936,160,1,42,92,7,13,,,,,,,,,27,0,34,,0,,0,,0,,98%,494139,,,
bonthe,2014-10-08,100,15,15,0,0,90,1,105,1,0,2,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-10-08,41,550,550,0,0,1473,533,1923,283,32,18,218,35,4,,,,,,,,,150,0,0,,0,,0,,0,,100%,465048,,,
kambia,2014-10-08,5,326,326,0,0,86,22,412,9,0,3,1,0,0,,,,,,,,,36,0,10,,1,,0,,0,,100%,341690,,,
kenema,2014-10-08,55,271,206,0,35,2578,431,2869,646,0,46,237,0,4,,,,,,,,,15,0,35,,1,,0,,0,,99%,653013,,,
koinadugu,2014-10-08,0.0,,,,,,0.0,,30.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-10-08,62,330,323,7,0,140,29,470,64,1,50,18,19,2,,,,,,,,,0,3,0,,4,,0,,2,,98%,325003,,,
moyamba,2014-10-08,38,255,255,0,0,257,72,512,53,0,20,27,19,5,,,,,,,,,3,2,0,,0,,0,,1,,100%,278119,,,
port loko,2014-10-08,5,2649,2624,15,10,562,343,3211,140,1,18,18,1,1,,,,,,,,,21,0,139,,1,,0,,0,,98%,557978,,,
pujehun,2014-10-08,38,295,290,5,0,384,24,679,5,0,3,9,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-10-08,25,1300,1300,0,0,508,114,1808,57,0,18,29,17,3,,,,,,,,,0,0,0,,0,,0,,0,,100%,434937,,,
western area rural,2014-10-08,28,486,431,0,55,656,2593,1142,2254,37,320,713,142,35,,,,,,,,,132,8,32,,38,,0,,5,,98%,263619,,,
western area urban,2014-10-08,5,632,532,0,100,884,577,1516,690,1,73,14,1,1,,,,,,,,,83,2,47,,25,,0,,0,,98%,1040888,,,
bo,2014-08-22,6.1,157,156,1,0,191,33,348,71,1,0,2,0,0,,,,,,,,,60,6,0,,0,,0,,0,,100%,654142,,,
bombali,2014-08-22,5.9,250,245,3,2,47,17,397,16,1,1,1,0,0,,,,,,,,,4,6,4,,1,,0,,0,,99%,494139,,,
bonthe,2014-08-22,0,0,0,0,0,26,1,26,0,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-08-22,43.2,217,216,1,0,965,417,1187,221,32,14,180,32,4,361,142,167,41,0,4,0,,61,6,24,,1,,0,,0,,100%,465048,,,
kambia,2014-08-22,0.0,12.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,341690.0,,,
kenema,2014-08-22,46.9,448,434,4,31,1116,303,1564,380,0,1,142,0,1,294,180,69,-,-,-,-,,35,12,0,,19,,0,,1,,98%,653013,,,
koinadugu,2014-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-08-22,0.0,0.0,0.0,0.0,0.0,38.0,1.0,53.0,17.0,1.0,33.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,,1.0,,0.0,,0.0,,,325003.0,,,
moyamba,2014-08-22,44.4,15,0,0,0,17,9,132,15,0,0,4,0,0,,,,,,,,,0,1,0,,1,,0,,0,,100%,278119,,,
port loko,2014-08-22,2.1,589,587,2,34,47,47,636,14,0,0,1,1,1,,,,,,,,,0,13,0,,1,,0,,0,,100%,557978,,,
pujehun,2014-08-22,0,22,21,1,0,62,5,84,2,0,0,0,0,0,,,,,,,,,6,1,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-08-22,0.0,,,,,,10.0,,12.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,2.0,,,0.0,,0.0,,0.0,,,434937.0,,,
western area rural,2014-08-22,0,52,52,0,0,0,11,52,12,0,0,0,0,0,,,,,,,,,0,5,0,,0,,0,,0,,100%,263619,,,
western area urban,2014-08-22,7.7,374,374,0,0,140,26,515,78,1,0,2,1,1,,,,,,,,,8,4,0,,3,,0,,0,,100%,1040888,,,
bo,2014-10-01,18,185,183,2,0,661,96,846,98,1,23,17,0,0,,,,,,,,,0,1,0,,2,,0,,1,,100%,654142,,,
bombali,2014-10-01,6,841,832,7,2,319,227,1160,109,1,12,14,0,0,,,,,,,,,0,0,23,,0,,0,,0,,98%,494139,,,
bonthe,2014-10-01,100,15,15,0,0,87,1,102,1,0,2,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-10-01,41,555,552,0,3,1212,530,1767,281,32,18,216,35,4,,,,,,,,,8,1,14,,0,,0,,0,,100%,465048,,,
kambia,2014-10-01,6,289,289,0,0,50,18,339,6,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,341690,,,
kenema,2014-10-01,54,271,266,1,5,2516,429,2818,608,0,39,232,0,4,,,,,,,,,7,1,13,,1,,0,,2,,99%,653013,,,
koinadugu,2014-10-01,0.0,,,,,,0.0,,29.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-10-01,0,204,191,13,0,140,23,345,45,1,43,2,0,1,,,,,,,,,0,3,0,,5,,0,,2,,98%,325003,,,
moyamba,2014-10-01,14,197,196,1,0,246,58,481,43,0,12,8,0,0,,,,,,,,,0,1,0,,0,,0,,0,,100%,278119,,,
port loko,2014-10-01,6,2704,2073,18,48,524,305,2752,124,1,18,18,1,1,,,,,,,,,0,10,73,,3,,0,,1,,98%,557978,,,
pujehun,2014-10-01,21,253,253,0,0,284,19,537,5,0,1,4,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-10-01,8,1113,1113,0,0,352,78,1465,45,0,11,6,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,434937,,,
western area rural,2014-10-01,2,428,407,0,21,252,175,680,152,0,16,4,0,0,,,,,,,,,66,6,16,,7,,0,,2,,98%,,,,
western area urban,2014-10-01,4,633,515,2,118,696,253,1329,348,1,35,9,1,1,,,,,,,,,10,10,14,,7,,0,,2,,98%,,,,
bo,2014-08-19,7.7,212,208,0,4,120,26,332,70,1,0,2,0,0,,,,,,,,,0,2,10,,7,,0,,0,,98%,654142,,,
bombali,2014-08-19,10,206,198,0,8,36,10,242,15,1,1,1,0,0,,,,,,,,,0,0,3,,0,,0,,0,,96%,494139,,,
bonthe,2014-08-19,0.0,0.0,0.0,0.0,0.0,26.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,168729.0,,,
kailahun,2014-08-19,43,358,358,0,0,885,409,1156,214,32,14,176,32,2,359,133,157,59,2,3,3,,140,3,11,,2,,0,,0,,100%,465048,,,
kambia,2014-08-19,0.0,12.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,341690.0,,,
kenema,2014-08-19,46.7,511,470,0,41,953,285,1498,347,0,17,133,0,1,289,176,68,30,7,3,2,,0,2,21,,6,,0,,15,,92%,653013,,,
koinadugu,2014-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-08-19,0.0,0.0,0.0,0.0,0.0,38.0,1.0,38.0,16.0,1.0,33.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,325003.0,,,
moyamba,2014-08-19,50,121,121,0,0,9,8,121,13,1,0,4,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,278119,,,
port loko,2014-08-19,3.2,584,562,14,18,47,31,631,13,3,0,1,1,1,,,,,,,,,17,0,60,,0,,3,,0,,99%,557978,,,
pujehun,2014-08-19,0,14,14,0,0,56,3,71,2,0,1,0,0,0,,,,,,,,,33,0,0,,0,,0,,1,,100%,335574,,,
tonkolili,2014-08-19,0.0,8.0,8.0,0.0,0.0,11.0,2.0,19.0,10.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,100.0,434937.0,,,
western area rural,2014-08-19,0,41,41,0,0,0,5,41,12,0,0,0,0,0,,,,,,,,,0,0,0,,1,,0,,0,,100%,263619,,,
western area urban,2014-08-19,9.1,367,367,0,0,132,22,499,72,1,0,2,1,1,,,,,,,,,0,2,0,,2,,0,,0,,100%,1040888,,,
34 military hospital,2014-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo,2014-09-24,19.5,141,140,0,1,540,82,681,87,1,19,16,0,0,,,,,,,,,0,4,0,,1,,0,,0,,100%,654142,,,
bombali,2014-09-24,5,719,713,4,2,288,180,1007,72,1,11,9,0,0,,,,,,,,,0,31,31,,20,,0,,1,,98%,494139,,,
bonthe,2014-09-24,100,57,57,0,0,32,1,89,1,0,2,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-09-24,39.7,431,219,0,212,1204,529,1635,280,32,18,210,35,4,654,219,123,53,3,1,3,,5,0,47,,0,,0,,0,,50%,465048,,,
kambia,2014-09-24,8.3,155,155,0,0,27,12,185,5,0,1,1,0,0,,,,,,,,,0,2,0,,0,,0,,1,,100%,341690,,,
kenema,2014-09-24,54.5,533,533,0,0,2231,422,2731,572,0,30,230,0,4,501,245,288,27,0,0,7,,0,5,0,,11,,0,,2,,100%,653013,,,
kenema (ifrc),2014-09-24,,,,,,,,,,,,,,,28.0,10.0,0.0,18.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,
koinadugu,2014-09-24,0.0,,,,,,0.0,,26.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-24,0,117,117,0,0,140,18,257,35,1,40,2,0,1,,,,,,,,,0,0,0,,0,,0,,0,,100%,325003,,,
moyamba,2014-09-24,14,175,175,0,0,178,50,353,38,0,10,7,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,278119,,,
police training school,2014-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
port loko,2014-09-24,8,1864,1789,7,68,474,213,2338,76,1,11,17,1,1,,,,,,,,,87,12,163,,5,,0,,1,,98%,557978,,,
pujehun,2014-09-24,6.3,169,169,0,0,240,16,409,4,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-09-24,6.7,1139,1139,0,0,237,60,1376,39,0,3,4,0,0,,,,,,,,,20,0,0,,0,,0,,0,,100%,434937,,,
western area rural,2014-09-24,2.7,374,351,0,23,138,113,512,99,0,10,3,0,0,,,,,,,,,24,10,76,,7,,0,,1,,98%,263619,,,
western area urban,2014-09-24,4.2,496,352,0,144,619,189,1115,282,1,14,8,1,1,,,,,,,,,3,11,68,,11,,0,,1,,100%,1040888,,,
bo,2014-10-05,46,226,224,2,0,661,107,887,103,1,24,49,43,2,,,,,,,,,0,1,0,,1,,0,,0,,99%,654142,,,
bombali,2014-10-05,30,985,975,10,0,385,294,1370,131,1,34,87,7,13,,,,,,,,,24,0,56,,0,,0,,0,,98%,494139,,,
bonthe,2014-10-05,100,15,15,0,0,90,1,105,1,0,2,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-10-05,41,615,614,1,0,1275,532,1835,282,32,18,216,35,4,,,,,,,,,0,1,0,,0,,0,,0,,100%,465048,,,
kambia,2014-10-05,5,311,311,0,0,50,21,361,7,0,3,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,341690,,,
kenema,2014-10-05,54,276,276,0,0,2549,431,2818,621,0,46,234,0,4,,,,,,,,,0,0,0,,6,,0,,0,,99%,653013,,,
koinadugu,2014-10-05,0.0,,,,,,0.0,,30.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-10-05,0,288,266,22,0,140,25,428,49,1,48,18,19,2,,,,,,,,,0,2,0,,2,,0,,7,,98%,325003,,,
moyamba,2014-10-05,40,242,242,0,0,246,68,488,52,0,18,27,19,5,,,,,,,,,0,2,0,,3,,0,,0,,100%,278119,,,
port loko,2014-10-05,5,2325,2313,3,9,534,346,2859,139,1,19,18,1,1,,,,,,,,,0,6,,,2,,0,,1,,98%,557978,,,
pujehun,2014-10-05,25,253,253,0,0,284,24,537,5,0,3,6,0,0,,,,,,,,,0,2,0,,0,,0,,1,,100%,335574,,,
tonkolili,2014-10-05,28,1346,1346,0,0,462,100,1808,54,0,13,28,17,3,,,,,,,,,0,14,44,,0,,0,,0,,100%,434937,,,
western area rural,2014-10-05,2,676,170,0,6,328,210,1004,176,0,21,5,0,0,,,,,,,,,0,10,0,,7,,0,,0,,100%,,,,
western area urban,2014-10-05,3,714,700,4,10,754,300,1468,427,1,39,9,1,1,,,,,,,,,0,10,0,,13,,0,,3,,100%,,,,
bo,2014-08-21,7.4,217,213,1,3,131,27,348,71,1,0,2,0,0,,,,,,,,,3,1,0,,1,,0,,0,,98%,654142,,,
bombali,2014-08-21,9.1,250,247,1,2,43,11,293,15,1,1,1,0,0,,,,,,,,,2,0,25,,0,,0,,0,,99%,494139,,,
bonthe,2014-08-21,0.0,0.0,0.0,0.0,0.0,26.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,168729.0,,,
kailahun,2014-08-21,43.8,284,282,2,0,904,411,1162,220,32,14,180,32,4,361,138,167,50,0,3,8,,0,1,4,,3,,0,,0,,100%,465048,,,
kambia,2014-08-21,0.0,12.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,341690.0,,,
kenema,2014-08-21,47.6,1069,437,3,35,495,290,1564,358,0,4,138,0,1,294,180,69,28,3,4,1,,35,0,23,,0,,0,,0,,41%,653013,,,
koinadugu,2014-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-08-21,0,15,15,0,0,38,1,53,16,1,33,0,0,1,,,,,,,,,0,0,0,,0,,0,,0,,100%,325003,,,
moyamba,2014-08-21,50,115,15,0,0,17,8,132,13,1,0,4,0,0,,,,,,,,,0,0,1,,0,,0,,0,,100%,278119,,,
port loko,2014-08-21,3,595,595,0,41,47,33,636,13,1,0,1,1,1,,,,,,,,,41,0,0,,0,,0,,0,,100%,557978,,,
pujehun,2014-08-21,0,27,27,0,0,56,4,84,2,0,0,0,0,0,,,,,,,,,0,0,13,,0,,0,,0,,100%,335574,,,
tonkolili,2014-08-21,0,8,8,0,0,11,8,19,12,0,0,1,0,0,,,,,,,,,0,6,0,,2,,0,,0,,100%,434937,,,
western area rural,2014-08-21,0,52,52,0,0,0,6,52,12,0,0,0,0,0,,,,,,,,,0,1,11,,0,,0,,0,,100%,263619,,,
western area urban,2014-08-21,9.1,382,382,0,0,133,22,515,75,1,0,2,1,1,,,,,,,,,0,0,16,,2,,0,,0,,100%,1040888,,,
bo,2014-10-03,18,226,223,3,0,661,96,887,102,1,23,17,0,0,,,,,,,,,0,0,41,,3,,0,,0,,100%,654142,,,
bombali,2014-10-03,8,866,871,11,2,361,241,1245,113,1,20,18,0,0,,,,,,,,,0,14,49,,4,,0,,8,,98%,494139,,,
bonthe,2014-10-03,100,15,15,0,0,90,1,105,1,0,2,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-10-03,41,556,555,1,0,1220,530,1776,281,32,18,216,35,4,,,,,,,,,0,0,45,,0,,0,,0,,100%,465048,,,
kambia,2014-10-03,5,311,311,0,0,50,21,361,6,0,3,1,0,0,,,,,,,,,0,0,22,,0,,0,,1,,100%,341690,,,
kenema,2014-10-03,54,276,273,0,3,2549,431,2818,615,0,43,232,0,4,,,,,,,,,33,0,0,,2,,0,,1,,99%,653013,,,
koinadugu,2014-10-03,0.0,,,,,,0.0,,30.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,1.0,,0.0,,0.0,,,335471.0,,,
kono,2014-10-03,0,286,266,20,0,140,23,427,45,1,43,2,0,1,,,,,,,,,0,0,0,,0,,0,,0,,98%,325003,,,
moyamba,2014-10-03,13,242,240,2,0,246,60,488,47,0,18,8,0,0,,,,,,,,,0,0,45,,2,,0,,0,,100%,278119,,,
port loko,2014-10-03,6,8317,2273,2,18,534,309,2851,128,1,18,18,1,1,,,,,,,,,0,4,60,,1,,0,,0,,98%,557978,,,
pujehun,2014-10-03,24,253,253,0,0,284,21,537,5,0,2,5,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,335574,,,
